file_name,animal_id,signal_type,unit_id,signal_time
cell01_baseline,not specified,AP,1,0.0437525
cell01_baseline,not specified,AP,1,0.0988025
cell01_baseline,not specified,AP,1,0.1373025
cell01_baseline,not specified,AP,1,0.1745525
cell01_baseline,not specified,AP,1,0.2133025
cell01_baseline,not specified,AP,1,0.2691525
cell01_baseline,not specified,AP,1,0.3263025
cell01_baseline,not specified,AP,1,0.3634025
cell01_baseline,not specified,AP,1,0.3950025
cell01_baseline,not specified,AP,1,0.4539025
cell01_baseline,not specified,AP,1,0.5058525
cell01_baseline,not specified,AP,1,0.5370525
cell01_baseline,not specified,AP,1,0.5921525
cell01_baseline,not specified,AP,1,0.6610025
cell01_baseline,not specified,AP,1,0.7120525
cell01_baseline,not specified,AP,1,0.8166025
cell01_baseline,not specified,AP,1,0.8705025
cell01_baseline,not specified,AP,1,0.9288525
cell01_baseline,not specified,AP,1,0.9672025
cell01_baseline,not specified,AP,1,1.0287525
cell01_baseline,not specified,AP,1,1.0612025
cell01_baseline,not specified,AP,1,1.1056525
cell01_baseline,not specified,AP,1,1.1644525
cell01_baseline,not specified,AP,1,1.2208025
cell01_baseline,not specified,AP,1,1.2600525
cell01_baseline,not specified,AP,1,1.3449025
cell01_baseline,not specified,AP,1,1.3847525
cell01_baseline,not specified,AP,1,1.4761525
cell01_baseline,not specified,AP,1,1.5109025
cell01_baseline,not specified,AP,1,1.5554525
cell01_baseline,not specified,AP,1,1.6014025
cell01_baseline,not specified,AP,1,1.6440025
cell01_baseline,not specified,AP,1,1.6959025
cell01_baseline,not specified,AP,1,1.7168525
cell01_baseline,not specified,AP,1,1.8142025
cell01_baseline,not specified,AP,1,1.8939525
cell01_baseline,not specified,AP,1,1.9463025
cell01_baseline,not specified,AP,1,1.9762025
cell01_baseline,not specified,AP,1,1.9901525
cell01_baseline,not specified,AP,1,2.0113025
cell01_baseline,not specified,AP,1,2.0371025
cell01_baseline,not specified,AP,1,2.0772025
cell01_baseline,not specified,AP,1,2.1107525
cell01_baseline,not specified,AP,1,2.1437525
cell01_baseline,not specified,AP,1,2.1787525
cell01_baseline,not specified,AP,1,2.2208025
cell01_baseline,not specified,AP,1,2.2366525
cell01_baseline,not specified,AP,1,2.2565025
cell01_baseline,not specified,AP,1,2.2804025
cell01_baseline,not specified,AP,1,2.3351525
cell01_baseline,not specified,AP,1,2.3707025
cell01_baseline,not specified,AP,1,2.4272525
cell01_baseline,not specified,AP,1,2.4519025
cell01_baseline,not specified,AP,1,2.4626525
cell01_baseline,not specified,AP,1,2.4868525
cell01_baseline,not specified,AP,1,2.5129525
cell01_baseline,not specified,AP,1,2.5411025
cell01_baseline,not specified,AP,1,2.5955025
cell01_baseline,not specified,AP,1,2.6303525
cell01_baseline,not specified,AP,1,2.6801525
cell01_baseline,not specified,AP,1,2.7398025
cell01_baseline,not specified,AP,1,2.7795525
