file_name,No_ch,No_AP_unit,No_AP_unit2,No_Stim,samp_rate_lfp,samp_rate_unit,rec_length,No_Trains,train_length_equal,train_length,train_starts,train_ends
cell01_baseline,2,4106,No second unit was detected,No stimulus channel was detected,2e4,2e4,161.5139,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell02_baseline,2,1529,No second unit was detected,No stimulus channel was detected,2e4,2e4,191.0131,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell03_baseline,2,34,No second unit was detected,No stimulus channel was detected,2e4,2e4,125.6308,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell04_baseline,2,206,No second unit was detected,No stimulus channel was detected,2e4,2e4,201.7132,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,4,633,No second unit was detected,1500,2e4,2e4,558.0505,3,TRUE,16.46840000000003,"292.0916775, 397.7231775, 493.3773775","308.5600775, 414.1915775, 509.8457775"
cell06_baseline,2,1941,No second unit was detected,No stimulus channel was detected,2e4,2e4,141.1223,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell07_baseline,2,206,No second unit was detected,No stimulus channel was detected,2e4,2e4,186.5391,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell08_baseline,2,321,No second unit was detected,No stimulus channel was detected,2e4,2e4,184.9211,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell09_baseline,2,303,No second unit was detected,No stimulus channel was detected,2e4,2e4,191.0489,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell10_01_right_IL_t1_3541_baseline,4,1016,No second unit was detected,900,2e4,2e4,202.0626,9,TRUE,3.2673000000000005,"10.950825, 30.075575, 96.737675, 104.800175, 128.978575, 146.248825, 151.652375, 163.734125, 179.724725","14.218125, 33.342825, 100.004925, 108.067425, 132.245825, 149.516125, 154.919625, 167.001375, 182.991975"
cell11_baseline,2,152,No second unit was detected,No stimulus channel was detected,2e4,2e4,122.1055,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell12_07_right_IL_t1_3586_pinch_stim_int10_ch-cell1,4,822,No second unit was detected,450,2e4,2e4,52.7641,3,TRUE,4.917400000000001,"20.652825, 33.319325, 46.040925","25.570225, 38.236775, 50.958325"
cell13_07_right_IL_t1_3586_pinch_stim_int10_ch-cell2,4,317,No second unit was detected,450,2e4,2e4,52.7641,3,TRUE,4.917400000000001,"20.652825, 33.319325, 46.040925","25.570225, 38.236775, 50.958325"
cell14_13_right_IL_t2_3010_pinch_stim,4,246,No second unit was detected,300,2e4,2e4,55.30715,2,TRUE,4.917482499999998,"19.197505, 32.3594075","24.1149875, 37.2774375"
cell15_07_right_IL_t1_3270_pinch_stim,4,696,No second unit was detected,1600,2e4,2e4,293.5027,10,FALSE,5.247429999999997,"13.994875, 29.135625, 48.965175, 58.002675, 77.937175, 89.299075, 193.220575, 215.064575, 241.157375, 258.197675","18.912275, 34.053025, 55.532725, 64.570225, 82.854575, 94.216475, 198.137975, 219.981975, 246.074775, 263.115075"
cell16_baseline_ch6-cell2,2,200,No second unit was detected,No stimulus channel was detected,2e4,2e4,181.1631,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell17_baseline_ch7-cell1,2,340,No second unit was detected,No stimulus channel was detected,2e4,2e4,181.1631,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell18_baseline,2,478,No second unit was detected,No stimulus channel was detected,2e4,2e4,176.794,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell19_baseline,2,1316,No second unit was detected,No stimulus channel was detected,2e4,2e4,203.0891,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell20_baseline,2,666,No second unit was detected,No stimulus channel was detected,2e4,2e4,190.772,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell21_13_right_IL_t3_3030_stim_control_ch4-cell1,4,458,No second unit was detected,450,2e4,2e4,76.9976,3,TRUE,4.917399999999999,"9.872775, 33.996275, 52.896275","14.790175, 38.913675, 57.813675"
cell22_baseline,2,37,No second unit was detected,No stimulus channel was detected,2e4,2e4,142.781,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell23_baseline,2,702,No second unit was detected,No stimulus channel was detected,2e4,2e4,185.7852,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell24_baseline,2,243,No second unit was detected,No stimulus channel was detected,2e4,2e4,184.993,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell25_baseline,2,5500,No second unit was detected,No stimulus channel was detected,2e4,2e4,130.3296,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell26_baseline,2,701,No second unit was detected,No stimulus channel was detected,2e4,2e4,189.1226,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell27_baseline,2,3232,No second unit was detected,No stimulus channel was detected,2e4,2e4,183.7692,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell28_baseline,2,34,No second unit was detected,No stimulus channel was detected,2e4,2e4,107.155,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
cell29_baseline,2,584,No second unit was detected,No stimulus channel was detected,2e4,2e4,164.2973,No trains were detected,No trains were detected,No trains were detected,No trains were detected,No trains were detected
