file_name,animal_id,signal_type,signal_time
cell01_baseline,not specified,stim,NA
cell02_baseline,not specified,stim,NA
cell03_baseline,not specified,stim,NA
cell04_baseline,not specified,stim,NA
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.0916775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.1246775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.1576775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.1906775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.2236775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.2566775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.2896775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.3226775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.3556775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.3887275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.4217275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.4547275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.4877275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.5207275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.5537275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.5867275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.6197275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.6527275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.6857275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.7187275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.7517275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.7847275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.8177275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.8507275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.8837275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.9167275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.9497275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,292.9827775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.0157775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.0487775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.0817775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.1147775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.1477775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.1807775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.2137775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.2467775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.2797775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.3127775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.3457775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.3787775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.4117775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.4447775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.4777775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.5107775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.5437775
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.5768275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.6098275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.6428275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.6758275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.7088275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.7418275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.7748275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.8078275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.8408275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.8738275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.9068275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.9398275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,293.9728275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,294.0058275
cell05_12_t1_3129_continuous_pinch_laser_ch-cell2,not specified,stim,294.0388275
