file_name,animal_id,signal_type,unit_id,signal_time
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.0375525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.0644025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.0902525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.1474025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.2000025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.2392525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.2908025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.3194025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.3776525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.4313025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.4612525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.5064025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.5390025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.5869525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.6185525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.6622025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.7119525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.7527025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.7608525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.7964525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.8177025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.8373025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.8549525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.8785025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.9004525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,0.9952025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.0221525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.0470525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.0803025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.0963025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.1265025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.1356025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.1731525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.1815025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.2163525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.2321525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.2784025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.2861525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.3134025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.3402025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.3579525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.3885525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.4069525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.4462525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.4881025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.5193025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.5278525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.5781025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.5867525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.6268525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.6755025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.7587525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.7759025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.7949525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.8849025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.9279025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.9554525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,1.9977525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.0573025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.1157525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.2134525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.2727025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.3123025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.3557025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.3917025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.4839525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.5489025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.5926025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.6104525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.6202025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.6405525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.7049525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.7421525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.7863525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.8370525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.8813525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.9098025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.9430525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,2.9940525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.0307525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.0628025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.1038525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.1183525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.1473525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.1715525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.2226525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.2306025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.2637025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.2789525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.2967525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.3142025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.3433525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.3604025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.3870525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.4092525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.4279025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.4600025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.5031525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.5729025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.6115525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.6874525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.7134525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.7520525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.7769025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.7914025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.8563525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.9102025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,3.9497025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.0014525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.0545025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.0881025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.1447025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.1748025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.2485525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.3148525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.3979025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.4457025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.4950525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.5662525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.6400025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.6646525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.7458025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.7940025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.8436525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.9067525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,4.9674525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.0533525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.0989025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.1960025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.2332025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.2474025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.3072025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.3592025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.3860525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.4038025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.4205025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.4412025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.4477525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.4854025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.5163525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.5729025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.6126025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.6446025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.6722025
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.7175525
cell01_02_t1_3002_tonic_stim,not specified,AP,1,5.7319525
