file_name,animal_id,signal_type,signal_time
cell01_02_t1_3002_tonic_stim,not specified,stim,13.7080975
cell01_02_t1_3002_tonic_stim,not specified,stim,13.7413975
cell01_02_t1_3002_tonic_stim,not specified,stim,13.7747475
cell01_02_t1_3002_tonic_stim,not specified,stim,13.8080975
cell01_02_t1_3002_tonic_stim,not specified,stim,13.8413975
cell01_02_t1_3002_tonic_stim,not specified,stim,13.8747475
cell01_02_t1_3002_tonic_stim,not specified,stim,13.9080475
cell01_02_t1_3002_tonic_stim,not specified,stim,13.9413975
cell01_02_t1_3002_tonic_stim,not specified,stim,13.9747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.0080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.0413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.0747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.1080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.1413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.1747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.2080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.2413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.2747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.3080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.3413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.3747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.4080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.4413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.4747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.5080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.5413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.5747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.6080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.6413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.6747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.7080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.7413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.7747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.8080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.8413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.8747475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.9080475
cell01_02_t1_3002_tonic_stim,not specified,stim,14.9413975
cell01_02_t1_3002_tonic_stim,not specified,stim,14.9747475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.0080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.0413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.0746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.1080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.1413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.1746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.2080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.2413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.2746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.3080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.3413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.3746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.4080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.4413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.4746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.5080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.5413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.5746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.6080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.6413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.6746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.7080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.7413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.7746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.8080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.8413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.8746975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.9080475
cell01_02_t1_3002_tonic_stim,not specified,stim,15.9413975
cell01_02_t1_3002_tonic_stim,not specified,stim,15.9746975
cell01_02_t1_3002_tonic_stim,not specified,stim,16.0080475
cell01_02_t1_3002_tonic_stim,not specified,stim,16.0413975
cell01_02_t1_3002_tonic_stim,not specified,stim,16.0746975
cell01_02_t1_3002_tonic_stim,not specified,stim,16.1080475
cell01_02_t1_3002_tonic_stim,not specified,stim,16.1413625
cell01_02_t1_3002_tonic_stim,not specified,stim,16.1746975
cell01_02_t1_3002_tonic_stim,not specified,stim,16.2080475
cell01_02_t1_3002_tonic_stim,not specified,stim,16.2413475
cell01_02_t1_3002_tonic_stim,not specified,stim,16.2746975
cell01_02_t1_3002_tonic_stim,not specified,stim,16.3080475
