animal,session,stim number,start,end,intensity,stim_duration,stim_side,stim_freq,quality
GIIFM5,video0coords.dat.21fix.bak,1,2685,2832,10,5,right IL,30,
GIIFM5,video0coords.dat.21fix.bak,2,4521,4668,10,5,right IL,30,
GIIFM5,video0coords.dat.21fix.bak,3,5872,6019,10,5,right IL,30,
GIIFM5,video0coords.dat.21fix.bak,4,6934,7230,10,10,right IL,30,
GIIFM5,video0coords.dat.21fix.bak,5,7988,8284,10,10,right IL,30,
GIIFM5,video0coords.dat.21fix.bak,6,8982,9872,10,30,right IL,30,
GIIFM5,video1coords.dat.23fix.bak,1,1575,1722,10,5,left IL,30,
GIIFM5,video1coords.dat.23fix.bak,2,2152,2299,10,5,left IL,30,
GIIFM5,video1coords.dat.23fix.bak,3,2995,3291,10,10,left IL,30,
GIIFM5,video1coords.dat.23fix.bak,4,3898,4788,10,30,left IL,30,
GIIFM5,video3coords.dat.40fix.bak,1,1503,1650,10,5,bilat IL,30,
GIIFM5,video3coords.dat.40fix.bak,2,1970,2266,11,10,bilat IL,30,
GIIFM5,video3coords.dat.40fix.bak,3,2716,3606,12,30,bilat IL,30,
GIIFM5,video3coords.dat.40fix.bak,4,5369,6259,13,30,bilat IL,30,
GIIFM5,video3coords.dat.40fix.bak,5,7611,8501,15,30,bilat IL,30,
GIIFM5,video5coords.dat.26fix.bak,1,1207,1354,10,5,left Pf,30,
GIIFM5,video5coords.dat.26fix.bak,2,2002,2149,10,5,left Pf,30,
GIIFM5,video5coords.dat.26fix.bak,3,2338,2485,10,5,left Pf,30,
GIIFM5,video5coords.dat.26fix.bak,4,3008,3304,10,10,left Pf,30,
GIIFM5,video5coords.dat.26fix.bak,5,3706,4002,10,10,left Pf,30,
GIIFM5,video5coords.dat.26fix.bak,6,5018,5908,10,30,left Pf,30,
GIIFM5,video7coords.dat.42fix.bak,1,615,762,10,5,left Pf,30,
GIIFM5,video7coords.dat.42fix.bak,2,1252,1548,10,10,left Pf,30,
GIIFM5,video7coords.dat.42fix.bak,3,1998,2888,10,30,left Pf,30,
GIIFM5,video8coords.dat.28fix.bak,1,413,560,10,5,right Pf,30,
GIIFM5,video8coords.dat.28fix.bak,2,1287,1583,10,10,right Pf,30,
GIIFM5,video8coords.dat.28fix.bak,3,2020,2910,10,30,right Pf,30,
GIIFM5,video9coords.dat.31fix.bak,1,490,786,10,10,right Pf,30,
GIIFM5,video9coords.dat.31fix.bak,2,1208,2098,10,30,right Pf,30,
GIIFM5,video10coords.dat.44fix.bak,1,670,817,10,5,bilat Pf,30,
GIIFM5,video10coords.dat.44fix.bak,2,1519,1815,10,10,bilat Pf,30,
GIIFM5,video10coords.dat.44fix.bak,3,2196,3086,10,30,bilat Pf,30,
GIIFM5,video0coords.dat.33fix.bak,1,700,847,1,5,right Pf,30,
GIIFM5,video0coords.dat.33fix.bak,2,1298,1445,1,5,right Pf,30,
GIIFM5,video0coords.dat.33fix.bak,3,2001,2297,1,10,right Pf,30,
GIIFM5,video0coords.dat.33fix.bak,4,3057,3947,1,30,right Pf,30,
GIIFM5,video1coords.dat.9fix.bak,1,1057,1205,1,5,left Pf,30,
GIIFM5,video1coords.dat.9fix.bak,2,1679,1975,1,10,left Pf,30,
GIIFM5,video2coords.dat.11fix.bak,1,1422,1569,1,5,bilat Pf,30,
GIIFM5,video2coords.dat.11fix.bak,2,2134,2430,1,10,bilat Pf,30,
GIIFM5,video2coords.dat.11fix.bak,3,3005,3895,1,30,bilat Pf,30,
GIIFM5,video3coords.dat.13fix.bak,1,1212,1359,5,5,right Pf,30,
GIIFM5,video3coords.dat.13fix.bak,2,2021,2317,5,10,right Pf,30,
GIIFM5,video4coords.dat.15fix.bak,1,1015,1162,5,5,left Pf,30,
GIIFM5,video4coords.dat.15fix.bak,2,1840,2136,5,10,left Pf,30,
GIIFM5,video5coords.dat.17fix.bak,1,275,423,5,5,bilat Pf,30,
GIIFM5,video5coords.dat.17fix.bak,2,760,1056,5,10,bilat Pf,30,
GIIFM5,video6coords.dat.19fix.bak,1,379,526,10,5,right Pf,30,
GIIFM5,video6coords.dat.19fix.bak,2,788,1084,10,10,right Pf,30,
GIIFM5,video6coords.dat.19fix.bak,3,3728,3875,15,5,right Pf,30,
GIIFM5,video6coords.dat.19fix.bak,4,4970,5117,18,5,right Pf,30,
GIIFM5,video7coords.dat.21fix.bak,1,1159,1307,10,5,left Pf,30,
GIIFM5,video7coords.dat.21fix.bak,2,1798,2094,10,10,left Pf,30,
GIIFM5,video8coords.dat.23fix.bak,1,253,401,10,5,bilat Pf,30,
GIIFM5,video9coords.dat.25fix.bak,1,747,895,1,5,right IL,30,
GIIFM5,video9coords.dat.25fix.bak,2,1134,1430,1,10,right IL,30,
GIIFM5,video9coords.dat.25fix.bak,3,1665,2555,1,30,right IL,30,
GIIFM5,video10coords.dat.27fix.bak,1,308,455,1,5,left IL,30,
GIIFM5,video10coords.dat.27fix.bak,2,951,1247,1,10,left IL,30,
