animal,session,stim number,start,end,intensity,stim_duration,stim_side,stim_freq,quality
GliciN-FM1,fm1-jobb-1mW.dat,1,3328,3630,1,10,right,,
GliciN-FM1,fm1-jobb-1mW.dat,2,5142,5444,1,10,right,,
GliciN-FM1,fm1-jobb-1mW.dat,3,6957,7257,1,10,right,,
GliciN-FM1,fm1-jobb-1mW.dat,4,8771,9071,1,10,right,,
GliciN-FM1,fm1-jobb-1mW.dat,5,10585,10885,1,10,right,,
GliciN-FM1,fm1-jobb-5mW.dat,1,1008,1308,5,10,right,,
GliciN-FM1,fm1-jobb-5mW.dat,2,2822,3122,5,10,right,,
GliciN-FM1,fm1-jobb-5mW.dat,3,4636,4936,5,10,right,,
GliciN-FM1,fm1-jobb-5mW.dat,4,6450,6750,5,10,right,,
GliciN-FM1,fm1-jobb-5mW.dat,5,8264,8564,5,10,right,,
GliciN-FM1,fm1-jobb-10mW.dat,1,877,1177,10,10,right,,
GliciN-FM1,fm1-jobb-10mW.dat,2,2691,2991,10,10,right,,
GliciN-FM1,fm1-jobb-10mW.dat,3,4505,4805,10,10,right,,
GliciN-FM1,fm1-jobb-10mW.dat,4,6319,6619,10,10,right,,
GliciN-FM1,fm1-jobb-10mW.dat,5,8133,8433,10,10,right,,
GliciN-FM1,fm1-jobb-15mW.dat,1,781,1081,15,10,right,,
GliciN-FM1,fm1-jobb-15mW.dat,2,2595,2895,15,10,right,,
GliciN-FM1,fm1-jobb-15mW.dat,3,4409,4709,15,10,right,,
GliciN-FM1,fm1-jobb-15mW.dat,4,6223,6523,15,10,right,,
GliciN-FM1,fm1-jobb-15mW.dat,5,8037,8337,15,10,right,,
GliciN-FM1,fm1-bal-1mW.dat,1,868,1168,1,10,left,,
GliciN-FM1,fm1-bal-1mW.dat,2,2682,2982,1,10,left,,
GliciN-FM1,fm1-bal-1mW.dat,3,4496,4796,1,10,left,,
GliciN-FM1,fm1-bal-1mW.dat,4,6310,6610,1,10,left,,
GliciN-FM1,fm1-bal-1mW.dat,5,8124,8424,1,10,left,,
GliciN-FM1,fm1-bal-5mW.dat,1,2066,2366,5,10,left,,
