"animal","session","stim.number","start","end","intensity","stim_duration","stim_side","stim_freq","quality"
"GIIFM24b","video1coords.dat.35fix.bak",1,1534,1784,0.5,10,"right",40,"fair"
"GIIFM24b","video1coords.dat.35fix.bak",2,3358,3608,0.5,10,"right",40,"fair"
"GIIFM24b","video1coords.dat.35fix.bak",3,4933,5183,0.5,10,"right",40,"fair"
"GIIFM24b","video1coords.dat.35fix.bak",4,6371,6621,0.5,10,"right",40,"fair"
"GIIFM24b","video1coords.dat.35fix.bak",5,7868,8118,0.5,10,"right",40,"fair"
"GIIFM24b","video2coords.dat.39fix.bak",1,216,466,1,10,"right",40,"fair"
"GIIFM24b","video2coords.dat.39fix.bak",2,2695,2945,1,10,"right",40,"fair"
"GIIFM24b","video2coords.dat.39fix.bak",3,5517,5767,1,10,"right",40,"fair"
"GIIFM24b","video2coords.dat.39fix.bak",4,7962,8212,1,10,"right",40,"fair"
"GIIFM24b","video2coords.dat.39fix.bak",5,10434,10684,1,10,"right",40,"fair"
"GIIFM24b","video3coords.dat.41fix.bak",1,828,1078,5,10,"right",40,"bad"
"GIIFM24b","video3coords.dat.41fix.bak",2,3157,3407,5,10,"right",40,"bad"
"GIIFM24b","video3coords.dat.41fix.bak",3,4615,4865,5,10,"right",40,"bad"
"GIIFM24b","video3coords.dat.41fix.bak",4,5939,6189,5,10,"right",40,"bad"
"GIIFM24b","video3coords.dat.41fix.bak",5,7437,7687,5,10,"right",40,"bad"
"GIIFM24b","video4coords.dat.43fix.bak",1,244,494,10,10,"right",40,"fair"
"GIIFM24b","video4coords.dat.43fix.bak",2,1946,2196,10,10,"right",40,"fair"
"GIIFM24b","video4coords.dat.43fix.bak",3,3428,3678,10,10,"right",40,"fair"
"GIIFM24b","video4coords.dat.43fix.bak",4,5298,5548,10,10,"right",40,"fair"
"GIIFM24b","video4coords.dat.43fix.bak",5,6840,7090,10,10,"right",40,"fair"
"GIIFM24b","video5coords.dat.49fix.bak",1,321,571,15,10,"right",40,"fair"
"GIIFM24b","video5coords.dat.49fix.bak",2,3692,3942,15,10,"right",40,"fair"
"GIIFM24b","video5coords.dat.49fix.bak",3,6110,6360,15,10,"right",40,"fair"
"GIIFM24b","video5coords.dat.49fix.bak",4,7935,8185,15,10,"right",40,"fair"
"GIIFM24b","video5coords.dat.49fix.bak",5,9607,9857,15,10,"right",40,"fair"
"GIIFM17b","video0coords.dat.79fix.bak",1,657,1408,15,30,"left",40,"bad"
"GIIFM17b","video12coords.dat.81fix.bak",1,1105,1856,15,30,"left",40,"bad"
"GIIFM17b","video1coords.dat.6fix.bak",1,668,918,15,10,"left",40,"good"
"GIIFM17b","video1coords.dat.6fix.bak",2,2407,2657,15,10,"left",40,"good"
"GIIFM17b","video1coords.dat.6fix.bak",3,4012,4262,15,10,"left",40,"good"
"GIIFM17b","video1coords.dat.6fix.bak",4,5349,5599,15,10,"left",40,"good"
"GIIFM17b","video1coords.dat.6fix.bak",5,6612,6862,15,10,"left",40,"good"
"GIIFM17b","video1coords.dat.6fix.bak",6,7470,7720,15,10,"left",40,"fair"
"GIIFM17b","video2coords.dat.8fix.bak",1,240,490,10,10,"left",40,"fair"
"GIIFM17b","video2coords.dat.8fix.bak",2,2637,2887,10,10,"left",40,"good"
"GIIFM17b","video2coords.dat.8fix.bak",3,4018,4268,10,10,"left",40,"good"
