frame,center1,center2,head1,head2,tail1,tail2
0,742,486,757,555,710,434
1,744,503,767,573,718,446
2,749,518,779,585,726,461
3,753,532,783,598,732,476
4,758,543,787,611,734,489
5,762,552,791,617,732,502
6,765,557,799,613,730,516
7,767,564,805,631,728,526
8,769,573,811,639,730,532
9,772,581,817,645,736,536
10,775,588,824,647,744,540
11,780,594,830,651,746,544
12,783,599,835,651,746,556
13,784,603,841,655,744,569
14,786,609,846,655,740,580
15,787,611,848,651,738,588
16,789,612,849,647,738,590
17,790,611,855,635,738,592
18,793,609,863,626,740,595
19,798,608,870,620,743,596
20,805,606,877,616,746,598
21,816,609,886,612,752,602
22,825,609,893,613,772,626
23,831,609,897,612,776,628
24,835,609,901,613,772,604
25,836,609,901,615,776,606
26,837,610,900,607,779,610
27,837,608,900,605,780,613
28,837,607,899,604,780,613
29,836,606,897,600,780,615
30,836,605,897,593,784,616
31,839,605,897,585,788,621
32,842,603,899,577,786,617
33,843,601,903,574,784,614
34,843,598,905,568,786,613
35,849,593,907,559,794,613
36,853,589,911,555,802,610
37,856,583,915,553,805,601
38,857,576,915,553,808,591
39,850,572,907,551,800,584
40,843,570,900,548,791,581
41,838,568,893,541,790,583
42,835,566,885,530,788,583
43,834,563,883,521,788,585
44,834,561,883,514,818,615
45,836,557,884,506,818,612
46,838,553,887,498,820,611
47,842,547,888,490,820,605
48,846,539,893,486,798,571
49,851,530,897,480,804,561
50,855,523,905,477,810,551
51,853,513,904,474,807,536
52,846,507,898,472,794,527
53,837,504,893,472,782,519
54,829,503,885,469,778,520
55,828,502,877,460,778,521
56,828,499,875,452,802,547
57,827,495,873,444,801,545
58,827,490,876,438,804,547
59,830,486,879,430,802,545
60,833,481,880,420,802,545
61,838,475,881,411,808,530
62,843,468,887,408,794,505
63,844,463,893,408,798,499
64,846,455,897,404,800,487
65,846,447,897,400,816,496
66,840,442,893,399,806,497
67,835,439,887,394,804,499
68,831,437,884,390,800,489
69,830,434,881,382,800,497
70,832,430,882,374,802,497
71,837,422,885,364,806,477
72,843,414,893,360,800,451
73,847,407,897,358,803,443
74,848,401,901,354,802,434
75,844,395,898,357,800,427
76,833,395,891,360,800,444
77,827,395,887,362,776,415
78,825,395,887,364,776,417
79,826,394,889,366,776,415
80,829,393,891,365,778,415
81,832,392,893,363,780,413
82,835,390,895,360,800,445
83,839,386,897,356,800,435
84,842,383,899,351,802,432
85,845,378,901,346,798,407
86,849,373,905,345,802,401
87,852,370,909,344,804,396
88,854,366,911,338,804,389
89,851,363,909,345,802,383
90,840,365,897,350,800,409
91,831,365,893,356,778,372
92,829,365,891,356,778,373
93,829,365,890,354,777,373
94,830,364,889,345,778,373
95,830,362,889,339,778,373
96,831,360,889,331,796,407
97,834,357,889,321,798,407
98,836,353,891,316,798,397
99,837,347,893,310,798,394
100,839,342,892,302,800,393
101,841,336,894,297,792,367
102,842,331,895,291,795,362
103,844,325,896,284,800,358
104,846,318,899,280,800,350
105,847,313,901,276,816,357
106,847,306,901,275,811,349
107,838,304,894,283,800,341
108,828,305,887,288,774,313
109,824,304,879,282,770,315
110,822,304,873,274,791,353
111,818,305,867,266,793,355
112,814,304,865,261,793,355
113,812,302,861,257,793,355
114,810,302,856,254,793,355
115,809,303,850,249,793,355
116,812,301,847,244,793,355
117,808,301,839,242,793,355
118,807,300,834,240,792,353
119,806,299,831,240,794,355
120,802,301,825,244,790,352
121,798,302,815,244,790,353
122,796,305,807,248,788,353
123,791,310,807,248,788,353
124,792,304,803,244,788,353
125,791,299,800,238,752,345
126,787,299,798,236,754,353
127,780,308,796,239,752,355
128,778,313,781,248,752,358
129,774,314,777,246,752,360
130,772,315,766,247,751,361
131,771,316,760,249,752,362
132,770,318,752,256,791,357
133,769,320,746,262,791,357
134,769,321,738,266,791,357
135,767,322,728,270,791,357
136,765,325,722,274,775,369
137,763,328,716,282,779,371
138,762,330,708,292,779,377
139,758,328,702,296,785,369
140,757,329,692,302,793,356
141,750,327,680,305,791,356
142,738,326,670,304,787,351
143,723,327,658,304,781,349
144,713,329,648,308,763,339
145,705,330,634,314,761,337
146,692,333,620,320,746,342
147,678,338,605,320,735,345
148,660,338,598,340,723,339
149,638,336,575,335,701,328
150,614,333,552,332,677,322
151,588,331,530,332,653,323
152,565,332,507,333,625,337
153,547,333,491,311,603,342
154,527,334,472,308,590,343
155,506,333,454,329,577,338
156,493,328,430,302,563,329
157,479,325,417,300,545,321
158,466,322,406,298,523,319
159,447,321,378,298,509,323
160,428,321,361,300,491,327
161,409,322,354,298,471,331
162,387,322,318,294,447,331
163,366,320,306,286,421,341
164,348,313,290,278,405,340
165,327,307,272,270,393,303
166,309,303,256,270,371,311
167,295,299,240,264,359,311
168,283,297,220,257,343,311
169,269,294,212,248,327,311
170,259,288,206,238,317,302
171,248,279,200,226,288,321
172,238,269,194,214,277,313
173,228,260,186,202,285,281
174,218,253,178,194,267,289
175,207,248,172,186,250,292
176,200,246,170,182,239,293
177,197,246,172,180,235,295
178,197,246,172,180,233,297
179,198,246,172,180,237,295
180,199,246,168,182,239,293
181,200,246,172,181,243,291
182,200,245,170,182,243,291
183,200,244,172,178,241,292
184,201,244,168,180,241,293
185,202,243,164,180,241,293
186,203,242,162,180,243,293
187,204,241,166,178,241,294
188,204,240,164,178,241,293
189,201,238,161,178,236,290
190,198,238,156,178,233,290
191,196,238,151,180,233,290
192,193,238,142,184,233,289
193,192,238,138,186,235,289
194,192,239,134,188,236,288
195,190,239,132,187,236,289
196,190,240,130,188,237,289
197,187,239,124,190,237,287
198,183,238,120,190,236,285
199,180,236,116,188,235,281
200,174,234,110,186,232,275
201,165,230,104,182,225,268
202,158,227,98,180,219,260
203,153,224,94,176,215,256
204,150,221,89,176,211,253
