frame,center1,center2,head1,head2,tail1,tail2
0,537,463,608,473,477,456
1,544,462,621,472,487,452
2,552,460,628,475,495,447
3,559,460,632,478,500,448
4,566,461,636,480,504,451
5,572,464,643,477,514,456
6,576,467,645,487,518,461
7,579,468,646,491,526,455
8,583,467,645,495,533,448
9,586,464,643,499,538,440
10,587,462,640,507,537,435
11,587,462,634,511,541,432
12,588,463,632,514,541,434
13,589,463,635,529,542,432
14,589,464,636,529,543,432
15,589,465,636,530,539,434
16,589,464,634,523,540,435
17,589,465,636,530,537,434
18,589,465,634,531,541,435
19,589,465,633,530,543,434
20,589,465,633,530,539,434
21,589,465,632,523,541,436
22,589,465,636,530,536,433
23,589,465,636,530,539,435
24,589,465,632,523,541,435
25,589,465,633,531,538,434
26,589,465,630,523,541,435
27,589,465,633,531,540,433
28,589,465,632,524,541,435
29,589,465,635,532,542,434
30,590,465,635,532,540,436
31,589,465,632,524,543,434
32,589,464,630,523,542,434
33,589,465,630,523,542,434
34,589,465,630,522,544,434
35,589,465,630,523,543,434
36,589,465,631,523,538,434
37,589,465,631,524,539,435
38,588,464,629,517,541,435
39,587,465,633,519,542,434
40,588,466,634,521,540,435
41,590,469,632,529,543,436
42,592,474,626,535,551,437
43,597,479,622,547,560,436
44,601,483,632,536,568,436
45,604,488,635,542,573,438
46,606,494,631,565,572,444
47,607,498,634,569,578,449
48,608,500,645,555,579,451
49,608,501,646,570,579,452
50,608,500,651,550,577,454
51,610,502,658,569,575,451
52,611,504,659,570,576,455
53,614,510,663,576,584,458
54,619,515,667,583,590,461
55,624,518,671,569,599,464
56,627,518,675,585,602,463
57,629,518,679,584,602,464
58,630,518,683,588,603,462
59,630,519,674,578,601,464
60,632,520,677,582,604,466
61,634,523,676,586,602,465
62,635,527,676,590,604,470
63,634,530,674,594,604,474
64,631,530,668,594,601,475
65,630,530,667,595,597,472
66,629,530,664,595,601,475
67,628,528,657,593,599,474
68,626,527,656,591,599,472
69,625,524,653,588,599,471
70,625,523,652,587,597,470
71,624,523,652,586,596,470
72,624,521,655,583,599,470
73,623,519,657,575,597,469
74,623,517,664,565,598,468
75,624,517,675,555,597,470
76,626,517,679,551,596,472
77,628,517,688,543,595,473
78,630,517,692,543,593,473
79,631,517,695,539,592,474
80,631,516,697,539,591,475
81,632,517,700,539,590,477
82,632,517,699,537,588,475
83,632,516,700,532,587,478
84,629,515,697,528,584,478
85,624,514,692,527,580,482
86,620,510,687,521,573,480
87,621,507,686,518,573,480
88,624,505,691,511,572,480
89,631,504,704,496,575,484
90,639,502,718,484,579,491
91,648,500,722,481,582,495
92,657,496,727,467,592,495
93,665,488,736,450,601,495
94,676,480,746,437,609,494
95,688,474,755,428,620,496
96,701,467,765,424,638,492
97,714,459,779,425,656,487
98,726,452,794,421,671,478
99,736,446,802,415,677,463
100,742,440,810,411,683,455
101,749,434,818,409,687,449
102,756,430,823,400,691,445
103,763,427,835,400,699,447
104,768,425,834,411,711,443
105,777,423,845,416,719,433
106,783,421,851,411,727,425
107,788,415,858,411,730,415
108,791,412,864,415,735,408
109,794,408,862,417,738,400
110,798,407,856,431,743,394
111,803,408,849,450,751,388
112,809,409,854,452,762,383
113,816,410,858,471,779,371
114,821,409,856,472,791,364
115,826,409,849,470,799,362
116,830,413,824,473,816,362
117,833,419,835,492,826,365
118,836,424,831,490,844,372
119,838,428,811,486,852,373
120,839,432,806,487,857,376
121,838,440,801,495,862,388
122,838,445,796,493,867,400
123,837,450,789,488,868,406
124,837,453,795,501,873,415
125,839,455,786,485,881,411
126,840,457,789,481,878,412
127,842,458,788,473,871,413
128,839,457,793,478,870,411
129,837,454,790,476,860,416
130,835,453,792,483,856,410
131,836,454,794,487,856,404
132,836,455,795,487,859,405
133,836,454,797,488,859,404
134,836,454,797,491,857,404
135,836,455,798,492,856,404
136,836,454,797,490,858,402
137,836,453,797,489,858,401
138,839,452,802,485,856,403
139,840,452,826,495,856,403
140,840,453,821,495,858,406
141,839,453,789,484,859,405
142,838,453,789,481,860,404
143,838,453,789,476,858,411
144,838,453,788,475,861,404
145,839,453,787,477,860,407
146,841,454,795,483,863,404
147,839,455,798,483,858,406
148,838,455,797,487,861,404
149,837,456,796,489,859,406
150,837,456,797,489,858,406
151,838,456,796,487,858,406
