frame,center1,center2,head1,head2,tail1,tail2
0,485,554,427,589,532,527
1,485,553,430,596,534,527
2,484,553,425,590,533,526
3,485,553,424,591,533,526
4,486,553,426,587,532,526
5,487,552,428,581,535,528
6,485,552,421,578,533,529
7,485,552,418,578,532,529
8,485,552,418,578,533,532
9,485,552,418,577,533,532
10,484,552,418,577,533,531
11,484,552,418,578,533,531
12,486,551,439,581,533,529
13,485,552,425,576,533,530
14,485,552,425,577,533,531
15,485,552,425,578,534,529
16,485,552,425,578,533,528
17,485,552,425,577,533,529
18,485,552,425,577,534,530
19,485,552,425,578,533,528
20,485,552,425,578,533,529
21,485,552,425,578,533,530
22,485,552,425,578,533,531
23,485,552,425,578,533,530
24,485,552,425,577,533,530
25,485,552,425,578,533,530
26,485,552,425,577,533,530
27,485,552,424,577,533,530
28,486,552,427,566,532,531
29,483,552,431,559,530,534
30,477,552,421,547,526,538
31,469,555,411,541,520,549
32,461,555,404,535,514,553
33,452,553,394,530,505,554
34,443,549,385,525,495,556
35,431,545,372,517,487,556
36,419,541,362,509,472,563
37,408,537,350,503,459,565
38,395,532,339,491,444,564
39,386,527,331,484,432,558
40,378,522,325,481,428,554
41,372,518,321,474,421,549
42,368,515,315,471,416,546
43,365,512,310,468,413,543
44,365,511,316,467,410,543
45,365,511,325,465,409,545
46,364,511,328,462,408,545
47,364,511,326,460,407,547
48,363,510,326,456,404,548
49,363,509,327,454,403,549
50,363,508,328,453,401,548
51,363,508,328,453,402,548
52,363,508,327,454,402,548
53,363,508,328,454,403,548
54,363,508,327,454,402,548
55,363,508,327,454,402,547
56,363,508,328,453,402,548
57,363,508,328,453,402,547
58,363,508,327,454,404,548
59,362,508,327,454,402,547
60,362,508,328,454,402,547
61,362,508,327,454,402,548
62,363,508,327,454,402,547
63,363,508,327,454,402,547
64,363,508,328,454,405,549
65,363,508,327,455,403,547
66,363,508,327,455,403,546
67,362,508,327,455,403,547
68,363,508,327,455,404,549
69,362,508,328,454,401,547
70,363,508,316,464,402,547
71,363,510,334,461,399,546
72,361,509,337,458,400,546
73,359,507,334,453,396,545
74,354,501,313,447,392,540
75,350,495,311,440,388,536
76,349,489,311,434,382,530
77,348,485,309,426,380,528
78,345,480,308,421,375,526
79,342,473,327,410,368,523
80,340,468,306,409,360,520
81,336,462,303,402,356,517
82,333,455,317,391,353,509
83,332,450,314,384,353,502
84,331,445,314,377,351,499
85,331,443,314,376,351,498
86,331,443,315,378,351,496
87,332,443,297,380,352,495
88,332,443,299,377,355,499
89,332,443,326,383,352,494
90,329,439,330,379,347,492
91,328,434,313,368,341,488
92,326,431,312,365,335,486
93,325,430,312,363,334,491
94,325,430,311,361,333,486
95,325,430,331,365,332,490
96,325,428,331,361,332,491
97,325,426,333,360,331,487
98,326,426,332,360,331,485
99,326,426,331,360,331,483
100,326,426,331,360,332,483
101,326,426,331,360,332,487
102,326,427,331,360,332,484
103,326,426,331,360,331,483
104,326,427,332,360,332,486
105,326,427,332,360,332,485
106,326,426,332,360,331,483
107,326,426,332,360,331,483
108,326,427,330,360,334,497
109,326,426,307,362,332,483
110,326,426,307,362,333,491
111,326,426,307,362,332,482
112,326,426,307,361,333,491
113,326,426,307,360,333,492
114,326,427,307,359,331,484
115,326,427,308,359,333,490
116,326,427,308,359,332,483
117,326,426,309,358,331,483
118,326,426,310,358,332,484
119,326,426,310,358,331,482
120,326,426,310,358,331,483
121,326,426,309,358,332,486
122,326,426,309,360,331,483
123,326,426,331,359,331,484
124,326,424,322,356,330,481
125,325,418,314,351,330,475
126,323,411,311,345,331,467
127,322,405,303,339,333,461
128,322,399,303,333,333,456
129,323,397,306,332,335,451
130,323,396,312,332,333,449
131,323,395,295,328,329,449
132,322,395,295,329,326,450
133,320,395,293,329,324,451
134,320,394,292,331,323,449
135,320,391,289,331,323,447
136,319,386,288,328,325,441
137,318,379,301,316,327,432
138,316,374,301,311,325,431
139,315,369,284,306,325,425
140,314,363,283,298,323,419
141,312,357,281,292,321,413
142,309,349,277,287,315,405
143,305,340,289,279,311,396
144,301,330,284,265,310,390
145,298,320,281,256,314,376
146,296,312,275,249,313,369
147,295,305,270,243,313,360
148,293,299,269,237,311,355
149,292,296,269,236,307,351
150,292,297,268,237,304,353
151,291,299,271,237,303,355
152,291,300,273,238,301,356
153,291,300,277,237,302,369
154,292,302,283,239,300,360
155,293,304,297,242,298,358
156,294,306,305,245,297,368
157,296,306,312,247,295,368
158,298,305,319,247,293,359
159,299,305,324,249,293,358
160,300,305,328,251,292,358
161,300,304,329,251,291,361
162,301,303,331,248,291,357
163,303,303,332,248,292,355
164,304,302,330,245,292,353
165,305,301,331,244,292,353
166,305,301,330,243,291,352
167,304,301,329,243,291,353
168,305,301,327,242,291,358
169,305,301,327,241,292,354
170,305,301,327,241,291,351
171,305,301,327,241,291,353
172,305,301,325,241,292,353
173,305,301,327,241,292,355
174,304,301,327,242,292,353
175,305,301,327,242,293,352
176,305,301,327,242,292,353
177,304,301,325,241,292,354
178,304,301,327,242,293,353
179,305,301,327,242,292,352
180,304,301,327,242,292,352
181,304,301,327,242,292,353
182,304,301,327,242,293,353
183,305,301,327,242,293,352
184,304,301,327,242,292,352
185,304,301,327,242,292,355
186,304,301,326,241,292,352
187,304,301,327,242,293,353
188,305,301,327,242,294,352
189,304,301,327,242,295,352
190,304,301,326,242,292,351
191,303,302,332,250,289,348
192,303,301,342,258,281,344
193,305,296,356,266,275,335
194,309,292,365,270,274,327
195,314,290,373,275,274,320
196,318,287,379,284,277,311
197,324,284,385,295,280,299
198,330,283,392,299,282,287
199,337,284,396,306,286,280
200,341,285,402,309,290,276
201,349,286,404,318,303,268
202,354,287,405,322,312,263
203,359,287,409,323,318,260
204,363,286,413,321,322,259
205,367,288,418,321,323,265
206,370,290,421,321,329,267
207,370,292,421,321,330,269
208,368,293,422,319,328,271
209,368,292,421,321,330,270
210,368,292,419,321,331,269
211,369,292,417,328,331,269
212,370,292,417,331,333,266
213,370,293,418,333,331,269
214,372,294,418,338,332,267
215,372,296,420,339,335,267
216,375,298,423,340,335,268
217,381,298,424,344,349,267
218,383,296,427,341,348,266
219,386,296,431,339,349,266
220,387,297,435,338,350,271
221,389,297,436,338,355,271
222,388,298,430,340,356,272
223,388,299,435,339,353,272
224,389,300,435,341,354,272
225,389,300,436,341,354,272
226,390,301,436,343,354,273
227,391,304,438,343,354,275
228,391,305,439,343,360,273
229,388,303,432,348,360,273
230,390,303,438,345,355,273
231,392,304,438,345,354,276
232,392,304,438,346,354,276
233,392,302,436,347,352,272
234,391,302,438,345,354,275
235,392,303,438,346,354,276
236,392,303,439,345,354,273
237,391,304,439,345,354,273
238,391,304,439,345,354,275
239,391,304,438,345,355,273
240,392,304,437,346,355,273
241,391,304,438,345,355,275
242,391,304,437,345,356,275
243,390,304,433,351,357,272
244,391,303,431,352,357,273
245,392,304,432,352,355,272
246,392,304,429,357,355,272
247,392,306,429,359,358,273
248,392,307,431,359,356,275
249,392,307,432,359,357,274
250,394,308,431,361,355,274
251,394,308,431,360,357,274
252,393,308,429,361,357,274
253,393,307,431,359,357,274
254,393,308,435,356,358,275
255,394,308,438,355,358,274
256,395,308,440,354,356,277
257,394,308,442,353,358,276
258,395,309,443,352,356,277
259,396,309,443,351,357,278
260,396,309,443,351,357,275
261,395,308,443,351,356,277
262,395,308,442,351,356,277
263,395,308,443,349,354,276
264,396,309,444,351,357,275
265,396,309,443,351,358,275
266,396,309,447,347,357,278
267,396,309,445,350,359,276
268,396,309,445,350,355,277
269,396,309,444,351,355,276
270,395,309,443,352,355,277
271,396,309,443,352,355,278
272,396,309,444,351,357,276
273,396,309,443,352,358,276
274,396,309,443,352,357,276
275,396,309,446,350,357,275
276,396,309,447,349,356,277
277,396,309,443,353,355,277
278,396,309,444,352,355,277
279,396,310,444,352,357,276
280,396,309,444,352,356,275
281,396,309,445,352,356,276
282,396,309,445,352,357,276
283,400,313,452,351,361,280
284,405,317,467,347,366,281
285,414,321,478,351,372,286
286,424,326,489,355,380,296
287,433,331,500,357,384,306
288,443,337,511,362,391,315
289,457,343,526,364,405,318
290,470,348,535,372,423,321
291,483,351,547,381,436,320
292,496,356,561,383,444,330
293,503,362,573,388,450,338
294,514,368,589,396,458,345
295,530,373,604,398,477,348
296,544,377,618,401,490,347
297,560,381,632,409,504,353
298,572,386,644,412,518,364
299,588,392,658,413,529,374
300,600,396,671,419,544,376
301,611,399,681,421,557,377
302,621,401,690,426,568,373
303,629,402,696,430,578,377
304,635,406,704,433,581,382
305,638,409,703,440,585,388
306,637,409,697,446,588,387
307,634,408,689,452,584,390
308,633,408,683,457,583,388
309,633,408,683,461,583,387
310,635,412,682,467,587,390
311,638,415,682,473,592,387
312,641,418,687,474,595,387
313,644,422,691,478,602,384
314,649,428,693,489,609,384
315,654,433,697,496,614,389
316,657,437,700,499,620,391
317,659,437,703,495,621,396
318,660,439,711,483,623,400
319,658,437,713,474,616,407
320,657,436,713,469,611,406
321,657,435,715,459,610,406
322,656,433,713,456,611,405
323,655,432,709,457,616,403
324,652,432,709,453,608,404
325,652,431,709,450,608,404
326,651,430,709,449,606,406
327,651,430,708,451,607,403
328,650,430,709,449,606,404
329,651,430,709,449,607,403
330,651,431,709,451,606,406
331,651,430,710,450,607,404
332,651,430,710,451,606,405
333,651,430,710,451,605,405
334,651,430,709,451,604,405
335,651,430,709,451,607,406
336,651,431,709,452,607,406
337,652,431,710,452,606,404
338,655,431,713,455,608,408
339,656,431,717,455,608,404
340,659,431,722,454,607,404
341,660,430,728,451,607,404
342,662,431,734,445,608,406
343,664,432,739,444,606,406
344,666,431,742,443,606,404
345,667,431,741,449,606,407
346,664,430,740,447,604,406
347,664,431,741,447,606,408
348,663,432,740,444,601,408
349,660,431,737,441,601,411
350,659,430,737,440,599,409
351,662,429,738,443,604,407
352,669,430,746,443,610,411
353,679,432,759,439,617,416
354,691,435,770,440,629,421
355,704,435,783,439,645,420
356,715,436,793,442,653,427
357,725,438,800,443,663,434
358,726,441,803,440,667,440
359,726,442,801,438,666,444
360,723,442,797,435,664,446
361,720,442,792,432,662,447
362,719,442,789,430,661,447
363,717,441,782,425,661,448
364,715,441,775,420,662,449
365,713,439,770,414,662,449
366,711,439,760,404,661,451
367,710,438,759,400,660,452
368,711,435,759,395,660,453
369,710,434,759,392,660,455
370,710,433,758,389,660,454
371,710,431,757,387,662,454
372,712,430,757,386,664,456
373,713,429,759,384,662,457
374,713,429,760,383,664,457
375,714,430,762,385,663,456
376,714,430,760,387,663,456
377,714,432,762,391,666,454
378,713,430,758,389,666,453
379,713,429,756,384,666,453
380,713,426,758,382,665,452
381,714,425,759,380,665,454
382,714,424,761,380,665,455
383,715,423,761,382,666,454
384,716,423,762,384,672,456
385,716,425,764,389,668,450
386,716,426,764,391,668,454
387,714,427,765,396,666,457
388,714,429,765,401,668,455
389,713,431,765,405,668,455
390,712,432,765,406,664,456
391,711,433,766,408,661,455
392,705,437,767,410,654,460
393,700,440,764,419,651,459
394,694,442,763,424,645,456
395,690,444,763,429,634,454
396,694,445,766,431,636,455
397,700,445,777,437,641,455
398,707,444,785,439,645,453
399,710,444,789,439,648,452
400,712,444,792,439,648,452
401,715,445,793,440,650,450
402,713,445,791,439,653,452
403,713,445,791,440,652,452
404,712,444,791,438,651,451
405,712,444,790,436,650,450
406,711,444,790,437,649,449
407,711,444,789,437,650,451
408,704,444,777,434,648,451
409,700,445,767,423,647,452
410,700,446,760,417,647,454
411,703,448,755,407,651,461
412,706,450,751,402,655,468
413,707,448,744,394,659,472
414,710,441,735,378,668,475
415,713,436,735,370,677,477
416,716,434,727,368,688,479
417,718,435,721,369,694,483
418,719,435,723,365,698,487
419,719,433,725,362,699,486
420,719,430,730,359,698,482
421,719,429,732,358,700,484
422,719,429,733,358,701,483
423,720,428,738,359,702,483
424,721,428,733,358,701,483
425,721,427,736,358,702,482
426,721,425,734,356,703,481
427,722,425,734,356,703,482
428,722,426,730,355,704,481
429,721,427,731,355,703,481
430,720,427,727,354,703,481
431,720,426,729,354,702,481
432,720,427,728,354,705,480
433,720,426,726,354,703,483
434,720,426,728,354,704,482
435,720,426,728,354,703,480
436,720,426,727,353,702,481
437,720,426,728,353,703,481
438,720,426,727,353,704,481
439,720,426,727,353,701,481
440,720,426,728,353,701,480
441,720,426,727,353,704,481
442,720,426,729,354,704,482
443,720,426,727,353,702,481
444,720,426,727,353,704,482
445,720,426,728,353,704,480
446,720,426,727,353,705,480
447,720,426,727,353,703,480
448,720,426,729,354,704,480
449,720,425,728,353,704,481
450,720,425,727,353,703,480
451,720,425,728,353,704,481
452,720,426,727,353,703,481
453,719,429,726,360,704,481
454,719,432,711,366,704,482
455,720,431,707,368,709,480
456,722,425,698,362,716,477
457,724,418,705,361,726,468
458,724,409,693,349,735,459
459,723,400,683,338,741,448
460,723,394,681,336,745,444
461,720,390,678,331,745,441
462,717,387,681,326,745,437
463,715,384,683,319,741,434
464,714,383,684,320,744,429
465,716,383,683,323,743,431
466,717,383,680,324,745,428
467,718,383,678,326,746,427
468,718,383,676,329,747,426
469,718,382,675,329,749,425
470,718,381,672,330,749,424
471,719,381,672,331,749,424
472,719,381,673,331,750,423
473,719,381,676,330,750,422
474,718,381,676,327,748,424
475,717,381,677,326,747,425
476,717,380,677,327,749,423
477,718,380,676,327,748,423
478,717,380,676,325,748,423
479,717,380,677,324,748,422
480,717,379,677,324,749,421
481,717,380,677,324,749,421
482,717,379,676,325,748,424
483,716,379,677,324,749,423
484,717,379,677,324,748,422
485,716,379,677,324,749,422
486,717,379,676,325,749,422
487,717,379,677,324,749,422
488,717,379,677,324,749,422
489,717,379,676,325,749,423
490,718,382,672,334,748,423
491,719,384,668,342,747,423
492,717,383,662,346,747,424
493,716,383,659,352,745,422
494,714,381,656,359,747,416
495,709,379,653,362,746,411
496,704,376,644,365,745,404
497,696,373,625,372,743,394
498,691,368,626,376,738,384
499,683,364,613,370,734,379
500,678,363,609,370,728,380
501,671,364,602,376,724,375
502,665,365,599,378,718,371
503,659,367,594,385,713,369
504,653,368,589,384,706,366
505,648,368,578,387,702,362
506,644,368,575,384,698,358
507,642,367,572,384,696,356
508,639,367,566,384,694,353
509,635,369,558,386,691,357
510,625,372,550,390,682,358
511,613,373,538,390,670,360
512,600,376,526,388,657,370
513,591,378,514,383,651,371
514,583,379,507,381,641,371
515,578,377,502,381,633,368
516,574,375,501,379,628,367
517,572,374,500,379,625,367
518,568,374,496,377,623,369
519,566,375,496,370,620,374
520,565,376,495,365,619,377
521,563,375,492,362,619,375
522,562,375,491,361,618,378
523,562,376,491,364,615,381
524,561,377,492,365,615,382
525,560,378,491,365,615,378
526,560,378,490,366,614,382
527,560,378,490,367,613,383
528,560,378,490,368,614,382
529,560,377,490,369,613,382
530,560,377,489,371,613,382
531,560,377,490,371,614,381
532,560,377,489,372,613,382
533,559,377,489,372,614,382
534,559,377,489,371,613,382
535,559,377,489,369,613,382
536,559,377,489,369,613,381
537,559,377,489,369,613,382
538,559,377,489,370,613,381
539,559,377,489,369,613,382
540,559,377,489,370,615,382
541,559,377,489,369,612,382
542,559,377,489,369,613,382
543,559,377,489,370,614,382
544,558,377,489,369,613,382
545,558,377,489,369,613,382
546,558,377,489,368,613,382
547,558,377,489,369,612,383
548,558,377,488,369,613,382
549,558,377,488,369,612,381
550,558,376,488,368,612,380
551,554,376,484,363,608,382
552,549,375,480,358,601,387
553,543,376,477,352,596,390
554,538,376,473,348,591,391
555,534,372,470,342,588,387
556,530,370,467,336,584,385
557,525,368,464,333,577,387
558,520,365,457,333,571,387
559,513,361,457,324,562,389
560,506,356,444,324,552,385
561,497,351,440,310,545,377
562,491,348,434,307,539,373
563,486,345,426,307,535,371
564,483,342,421,304,535,364
565,481,339,418,302,531,363
566,477,334,416,295,526,362
567,475,332,415,294,523,361
568,475,333,416,294,522,364
569,474,333,415,295,521,365
570,473,333,413,296,520,364
571,474,333,413,297,520,364
572,473,333,413,297,521,364
573,473,333,412,298,519,365
574,474,333,411,301,520,363
575,474,334,410,304,521,364
576,472,333,408,303,519,363
577,470,333,403,311,517,362
578,465,331,399,311,516,355
579,462,328,392,314,514,349
580,464,327,396,317,515,347
581,462,327,390,319,512,346
582,458,327,385,323,509,344
583,452,327,378,324,504,342
584,443,325,368,326,495,339
585,431,323,360,327,485,337
586,421,324,352,327,474,332
587,414,324,344,327,467,331
588,408,324,339,325,463,322
589,408,323,338,324,463,321
590,408,322,336,322,464,321
591,410,322,340,324,465,319
592,411,322,343,324,464,318
593,411,322,345,324,465,319
594,412,322,344,329,465,319
595,413,322,341,329,465,319
596,413,322,342,332,465,319
597,413,322,344,333,465,318
598,413,322,348,335,465,316
